EXP058,La Blockchain pas à PaaS,Productivity
EXP059,"JavaScript : le futur, c'est maintenant !",Productivity
EXP060,Analyse avancée avec la plateforme Microsoft,More PC
EXP061,Objets connectés (IOT) et Big Data,Productivity
EXP062,"Tester, Monitorer et Déployer son application mobile",Productivity
EXP063,Les grands défis de l'Industrie 4.0 décryptés par Le Boston Consulting Group ,More PC
EXP064,L'évolution du métier du DAF induite par la transformation digitale ,Intelligent Cloud
EXP065,Business & Marketing l'histoire de la transformation de Microsoft ,More PC
EXP066,"ERP dans le Cloud, cette union fera-t-elle votre force demain ? ",Intelligent Cloud
EXP067,"Lancer son offre au niveau mondial en moins d'une semaine, mythe ou réalité ? ",More PC
EXP068,"Keynote ""PME & Startups : concurrents ou exemples à suivre ?""",Productivity
EXP069,Créer un bot de A à Z,Intelligent Cloud
EXP070,Linux et Microsoft [TBD],More PC
EXP071,Toutes les données ne rentrent pas dans les cases ! ,More PC
EXP072,"Gérer ses données dans le cloud, à demeure, ou en hybride ? 1+1=3",More PC
EXP073,Business Intelligence,More PC
EXP074,Sécurité des données,Intelligent Cloud
EXP075,Enfin un peu d'intelligence artificielle: réseaux neuronaux profonds et apprentissage par renforcement,Productivity
EXP076,Objets connectés (IOT) et Cognitive Services,More PC
EXP077,Authentification sans mot de passe FIDO 2 avec FranceConnect de l'état plateforme,Productivity
EXP078,Protéger vos données avec le chiffrement dans Azure et Office 365,More PC
EXP079,Tour d'horizon des services de sécurité et de contrôle d'accès pour Azure ,Intelligent Cloud
EXP080,Tour d'horizon de solutions Microsoft de protection de patrimoine informationnel,More PC
EXP081,La stratégie identité de Microsoft,More PC
EXP082,Boostez vos équipes commerciales avec un champion olympique,Productivity
EXP083,Les nouveaux scénarios de la data et leur mise en œuvre,Intelligent Cloud
EXP084,"Uwp + Xamarin - Développer son application mobile en C# pour Windows, Android et iOS",More PC
EXP085,Plénière d'ouverture,More PC
EXP086,"Editeurs, startups : le cloud promet d'accélérer votre business ! Quels impacts techniques pour vos applications ?",Productivity
EXP087,"Asp.Net Core 1.0, Microsoft Azure et gestion d'APIs : les dessous de la plateforme Microsoft Expériences",More PC
EXP088,"Microsoft Composition, pierre angulaire de vos applications ?",Intelligent Cloud
EXP089,Adopte un DSI ,More PC
EXP090,Vos employés ? votre 1ere richesse ! vos ambassadeurs !,More PC
EXP091,Les 7 règles d’or pour protéger sa TPE/PME !,More PC
EXP092,"Transformation de la représentation : De la VR à la VA, aller & retour.",Productivity
EXP093,"Retail, Bots, intelligence Artificielle, Design & Usages: Les clefs de l'innovation.",Productivity
